alliance_name,constituency_id,constituency_name,Candidate,Party,State,Total Independent Candidates,Total Votes (Cr),Sum of total_votes,Vote % of India,Sum of vote_share
INDIA,27,KHARGONE,DEVISINGH NARGAVE,Communist Party of India,Madhya Pradesh,,0.00 Cr,14686,1,0.94
INDIA,10,Rajkot,DHANANI PARESH,Indian National Congress,Gujarat,,0.04 Cr,373724,1,29.35
INDIA,34,Pune,DHANGEKAR RAVINDRA HEMRAJ,Indian National Congress,Maharashtra,,0.05 Cr,461690,1,41.8
INDIA,13,Chandrapur,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Indian National Congress,Maharashtra,,0.07 Cr,718410,1,57.88
INDIA,69,Azamgarh,DHARMENDRA YADAV,Samajwadi Party,Uttar Pradesh,,0.05 Cr,508239,1,48.2
INDIA,12,Lakhimpur,DHIREN KACHARI,Communist Party of India,Assam,,0.00 Cr,19631,1,1.62
INDIA,20,RAJGARH,DIGVIJAYA SINGH,Indian National Congress,Madhya Pradesh,,0.06 Cr,612654,1,42.87
INDIA,23,MANDSOUR,DILIP SINGH GURJAR,Indian National Congress,Madhya Pradesh,,0.04 Cr,445106,1,31.05
INDIA,22,Bharuch,DILIPBHAI CHHOTUBHAI VASAVA,Bharat Adivasi Party,Gujarat,,0.00 Cr,10014,1,0.84
INDIA,21,Mainpuri,DIMPLE YADAV,Samajwadi Party,Uttar Pradesh,,0.06 Cr,598526,1,56.79
INDIA,13,JABALPUR,DINESH YADAV,Indian National Congress,Madhya Pradesh,,0.03 Cr,303459,1,26.19
INDIA,5,KARNAL,DIVYANSHU BUDHIRAJA,Indian National Congress,Haryana,,0.05 Cr,506708,1,37.65
INDIA,8,VELLORE,DM KATHIR ANAND,Dravida Munnetra Kazhagam,Tamil Nadu,,0.06 Cr,568692,1,50.35
INDIA,12,Ghaziabad,DOLLY SHARMA,Indian National Congress,Uttar Pradesh,,0.05 Cr,517205,1,35.17
INDIA,13,Patiala,DR BALBIR SINGH,Aam Aadmi Party,Punjab,,0.03 Cr,290785,1,25.25
INDIA,13,Patiala,DR DHARAMVIRA GANDHI,Indian National Congress,Punjab,,0.03 Cr,305616,1,26.54
INDIA,10,Chevella,DR GADDAM RANJITH REDDY,Indian National Congress,Telangana,,0.06 Cr,636985,1,38.02
INDIA,37,TENKASI,DR RANI SRI KUMAR,Dravida Munnetra Kazhagam,Tamil Nadu,,0.04 Cr,425679,1,40.97
INDIA,2,KURUKSHETRA,DR SUSHIL GUPTA,Aam Aadmi Party,Haryana,,0.05 Cr,513154,1,42.55
INDIA,36,Shirur,DR. AMOL RAMSING KOLHE,Nationalist Congress Party – Sharadchandra Pawar,Maharashtra,,0.07 Cr,698692,1,50.83
INDIA,12,Uttara Kannada,DR. ANJALI NIMBALKAR,Indian National Congress,Karnataka,,0.04 Cr,445067,1,35.25
INDIA,22,RAJSAMAND,DR. DAMODAR GURJAR,Indian National Congress,Rajasthan,,0.04 Cr,388980,1,32.06
INDIA,41,Latur,DR. KALGE SHIVAJI BANDAPPA,Indian National Congress,Maharashtra,,0.06 Cr,609021,1,49.15
INDIA,12,Gadchiroli - Chimur,DR. KIRSAN  NAMDEO,Indian National Congress,Maharashtra,,0.06 Cr,617792,1,52.97
INDIA,7,Ponnani,DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League,Kerala,,0.06 Cr,562516,1,54.81
INDIA,13,Gautam Buddha Nagar,DR. MAHENDRA SINGH NAGAR,Samajwadi Party,Uttar Pradesh,,0.03 Cr,298357,1,20.76
INDIA,2,RAIGARH,DR. MENKA DEVI SINGH,Indian National Congress,Chhattisgarh,,0.06 Cr,567884,1,39.08
INDIA,40,Farrukhabad,DR. NAVAL KISHOR SHAKYA,Samajwadi Party,Uttar Pradesh,,0.05 Cr,485285,1,46.94
INDIA,13,Davanagere,DR. PRABHA MALLIKARJUN,Indian National Congress,Karnataka,,0.06 Cr,633059,1,47.95
INDIA,19,Dahod,DR. PRABHABEN KISHORSINH TAVIYAD,Indian National Congress,Gujarat,,0.04 Cr,355038,1,31.75
INDIA,11,Bhandara Gondiya,DR. PRASHANT YADAORAO PADOLE,Indian National Congress,Maharashtra,,0.06 Cr,587413,1,47.56
INDIA,5,Hoshiarpur,DR. RAJ KUMAR CHABBEWAL,Aam Aadmi Party,Punjab,,0.03 Cr,303859,1,32.04
INDIA,38,Bardhaman Purba,DR. SHARMILA SARKAR,All India Trinamool Congress,West Bengal,,0.07 Cr,720302,1,48.11
INDIA,3,JANJGIR-CHAMPA,DR. SHIVKUMAR DAHARIYA,Indian National Congress,Chhattisgarh,,0.06 Cr,618199,1,44.4
INDIA,9,Hyderabad,DR.J.PADMAJA,Viduthalai Chiruthaigal Katchi,Telangana,,0.00 Cr,900,1,0.08
INDIA,2,CHENNAI NORTH,DR.KALANIDHI VEERASWAMY,Dravida Munnetra Kazhagam,Tamil Nadu,,0.05 Cr,497333,1,55.11
INDIA,12,Nagarkurnool,DR.MALLU RAVI,Indian National Congress,Telangana,,0.05 Cr,465072,1,38.14
INDIA,11,Kalahandi,DROUPADI MAJHI,Indian National Congress,Odisha,,0.03 Cr,303199,1,22.72
INDIA,24,TIRUCHIRAPPALLI,DURAI VAIKO,Marumalarchi Dravida Munnetra Kazhagam,Tamil Nadu,,0.05 Cr,542213,1,51.35
INDIA,9,Bellary,E. TUKARAM,Indian National Congress,Karnataka,,0.07 Cr,730845,1,52.58
INDIA,6,Malappuram,E.T.  MOHAMMED BASHEER,Indian Union Muslim League,Kerala,,0.06 Cr,644006,1,59.35
INDIA,16,Ongole,EDA SUDHAKARA REDDY,Indian National Congress,Andhra Pradesh,,0.00 Cr,26722,1,1.88
INDIA,24,RATLAM,ENGINEER BALUSINGH GAMAD,Bharat Adivasi Party,Madhya Pradesh,,0.01 Cr,52759,1,3.44
INDIA,14,Bhongir,ERRA SURYAM,Viduthalai Chiruthaigal Katchi,Telangana,,0.00 Cr,778,1,0.06
INDIA,21,POLLACHI,ESWARASAMY K,Dravida Munnetra Kazhagam,Tamil Nadu,,0.05 Cr,533377,1,47.37
INDIA,6,Raichur,G. KUMAR NAIK.,Indian National Congress,Karnataka,,0.07 Cr,670966,1,51.63
INDIA,29,Mumbai North Central,GAIKWAD VARSHA EKNATH,Indian National Congress,Maharashtra,,0.04 Cr,445545,1,48.93
INDIA,20,COIMBATORE,GANAPATHY RAJKUMAR P,Dravida Munnetra Kazhagam,Tamil Nadu,,0.06 Cr,568200,1,41.39
INDIA,2,Garhwal,GANESH GODIYAL,Indian National Congress,Uttarakhand,,0.03 Cr,268656,1,36.43
